seed,user_id,method,k,precision,recall,ndcg,hitrate,mrr,candidate_size,heldout_count,dimensions,walk_length,num_walks,window,p,q
0,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
0,avreylavelle,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
0,avreylavelle,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,50,0.02,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,100,0.01,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,50,0.02,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,100,0.01,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,50,0.02,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,100,0.01,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,50,0.02,1.0,0.1905514124267734,1.0,0.02702702702702703,41,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,100,0.01,1.0,0.1905514124267734,1.0,0.02702702702702703,41,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,50,0.02,1.0,0.20801459767650948,1.0,0.037037037037037035,47,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,100,0.01,1.0,0.20801459767650948,1.0,0.037037037037037035,47,1,64,20,50,10,1.0,1.0
1,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
